"carro","tempo","link_yt","data_publicacao","duracao_video_min","views","likes","dislikes","url_thumbnail","data_captura"
"Porsche 918 Spyder",54.633,"https://www.youtube.com/watch?v=b04sZb-bkOc","30/05/2016",0.25,2647315,85379,625,"https://i.ytimg.com/vi/b04sZb-bkOc/maxresdefault.jpg","29/08/2020"
"Mercedes-AMG GT R",58.157,"https://www.youtube.com/watch?v=BB3y1wO6g3g","9/07/2018",0.25,611513,44670,203,"https://i.ytimg.com/vi/BB3y1wO6g3g/maxresdefault.jpg","29/08/2020"
"Porsche 911 Turbo",58.211,"https://www.youtube.com/watch?v=g9s6WEqP2XI","25/11/2014",0.25,1117259,20213,158,"https://i.ytimg.com/vi/g9s6WEqP2XI/maxresdefault.jpg","29/08/2020"
"Porsche 911 Carrera S (992)",58.753,"https://www.youtube.com/watch?v=Bu5oBQ3ko5I","17/02/2020",13.58,286498,23372,191,"https://i.ytimg.com/vi/Bu5oBQ3ko5I/maxresdefault.jpg","29/08/2020"
"Audi R8 V10 Plus 2018",58.774,"https://www.youtube.com/watch?v=Z3xoi-hhe0o","30/04/2018",0.25,448830,34922,143,"https://i.ytimg.com/vi/Z3xoi-hhe0o/maxresdefault.jpg","29/08/2020"
"Porsche 911 GT2",59.008,"https://www.youtube.com/watch?v=fb4zEY9H3ig","27/07/2015",0.25,966510,29471,159,"https://i.ytimg.com/vi/fb4zEY9H3ig/maxresdefault.jpg","29/08/2020"
"Porsche 718 Boxster GTS",59.235,"https://www.youtube.com/watch?v=L3fYUlywXyQ","1/10/2018",0.25,141681,13014,55,"https://i.ytimg.com/vi/L3fYUlywXyQ/maxresdefault.jpg","29/08/2020"
"Porsche 911 GTS",59.423,"https://www.youtube.com/watch?v=dVXjD7kSa5E","23/04/2018",0.25,269141,25184,219,"https://i.ytimg.com/vi/dVXjD7kSa5E/maxresdefault.jpg","29/08/2020"
"Mercedes-AMG GT S",59.916,"https://www.youtube.com/watch?v=rBL24F00lBg","7/11/2016",0.25,746032,22388,154,"https://i.ytimg.com/vi/rBL24F00lBg/maxresdefault.jpg","29/08/2020"
"Porsche Panamera Turbo",60.232,"https://www.youtube.com/watch?v=zg75R3fByMU","17/09/2018",0.25,227200,19013,227,"https://i.ytimg.com/vi/zg75R3fByMU/maxresdefault.jpg","29/08/2020"
"Jaguar F-Type SVR",60.411,"https://www.youtube.com/watch?v=MtR6kox6JpE","14/08/2017",0.25,479910,38917,189,"https://i.ytimg.com/vi/MtR6kox6JpE/maxresdefault.jpg","29/08/2020"
"BMW M5",60.935,"https://www.youtube.com/watch?v=zg75R3fByMU","17/09/2018",0.25,227200,19013,227,"https://i.ytimg.com/vi/zg75R3fByMU/maxresdefault.jpg","29/08/2020"
"Audi R8 V10 Plus",60.975,"https://www.youtube.com/watch?v=F6NFcbvCd20","30/03/2015",0.1,761895,14205,127,"https://i.ytimg.com/vi/F6NFcbvCd20/maxresdefault.jpg","29/08/2020"
"Porsche 718 Boxster",61.093,"https://www.youtube.com/watch?v=9atesFt6hRI","29/08/2016",0.25,2318446,88794,1269,"https://i.ytimg.com/vi/9atesFt6hRI/maxresdefault.jpg","29/08/2020"
"Audi TT RS",61.325,"https://www.youtube.com/watch?v=mDkLiPWOt9Y","4/06/2018",0.25,455276,33652,172,"https://i.ytimg.com/vi/mDkLiPWOt9Y/maxresdefault.jpg","29/08/2020"
"Mercedes-AMG S 63 Coupé",61.463,"https://www.youtube.com/watch?v=6k2kc2LEDoE","5/09/2016",0.25,697555,21166,150,"https://i.ytimg.com/vi/6k2kc2LEDoE/maxresdefault.jpg","29/08/2020"
"Audi RS6",61.594,"https://www.youtube.com/watch?v=swkVwGBwQe8","29/02/2016",0.25,879060,21450,215,"https://i.ytimg.com/vi/swkVwGBwQe8/maxresdefault.jpg","29/08/2020"
"Jaguar F-Type R",61.78,"https://www.youtube.com/watch?v=CFOvnblNq_A","2/09/2014",0.25,534786,12030,82,"https://i.ytimg.com/vi/CFOvnblNq_A/maxresdefault.jpg","29/08/2020"
"Audi RS7",61.834,"https://www.youtube.com/watch?v=ukLOCrBHDcE","4/11/2014",0.25,347280,7228,45,"https://i.ytimg.com/vi/ukLOCrBHDcE/maxresdefault.jpg","29/08/2020"
"Audi RS7 Performance",61.924,"https://www.youtube.com/watch?v=LaeOMqlIPyI","6/03/2017",7.98,241091,12796,327,"https://i.ytimg.com/vi/LaeOMqlIPyI/maxresdefault.jpg","29/08/2020"
"Porsche Cayenne Turbo",61.984,"https://www.youtube.com/watch?v=8JBgDnZQCYk","10/06/2019",0.25,201193,19268,97,"https://i.ytimg.com/vi/8JBgDnZQCYk/maxresdefault.jpg","29/08/2020"
"Audi RS 4 Avant",61.297,"https://www.youtube.com/watch?v=XG_AUg9bQ_w","19/08/2019",1.98,533152,40592,225,"https://i.ytimg.com/vi/XG_AUg9bQ_w/maxresdefault.jpg","29/08/2020"
"Ford Mustang GT",62.243,"https://www.youtube.com/watch?v=NmOW-5CBZxs","28/05/2018",0.38,836512,45226,926,"https://i.ytimg.com/vi/NmOW-5CBZxs/maxresdefault.jpg","29/08/2020"
"BMW i8",62.324,"https://www.youtube.com/watch?v=uPpuhZSGGRY","20/11/2017",0.25,1058834,53140,363,"https://i.ytimg.com/vi/uPpuhZSGGRY/maxresdefault.jpg","29/08/2020"
"Audi RS3 Sedan",62.336,"https://www.youtube.com/watch?v=VCFKhrfulPU","21/05/2018",0.25,194682,17482,83,"https://i.ytimg.com/vi/VCFKhrfulPU/maxresdefault.jpg","29/08/2020"
"Audi TTS",62.342,"https://www.youtube.com/watch?v=-EcPgQfLEQs","1/08/2016",0.1,227185,11039,96,"https://i.ytimg.com/vi/-EcPgQfLEQs/maxresdefault.jpg","29/08/2020"
"BMW M4",62.413,"https://www.youtube.com/watch?v=vBCY-c_sdG4","11/03/2019",0.25,632304,37540,255,"https://i.ytimg.com/vi/vBCY-c_sdG4/maxresdefault.jpg","29/08/2020"
"BMW M5",62.477,"https://www.youtube.com/watch?v=MPws6AzFyYc","14/03/2016",0.25,845766,20695,188,"https://i.ytimg.com/vi/MPws6AzFyYc/maxresdefault.jpg","29/08/2020"
"Chevrolet Camaro SS 2018",62.666,"https://www.youtube.com/watch?v=hxgpsszX84s","24/04/2017",15.63,925703,31988,391,"https://i.ytimg.com/vi/hxgpsszX84s/maxresdefault.jpg","29/08/2020"
"Audi RS 3",62.78,"https://www.youtube.com/watch?v=38LAWAZ7myw","6/06/2016",0.25,425818,12439,105,"https://i.ytimg.com/vi/38LAWAZ7myw/maxresdefault.jpg","29/08/2020"
"BMW M3",62.944,"https://www.youtube.com/watch?v=KbjlTl5oiuI","25/04/2016",0.38,423781,14403,89,"https://i.ytimg.com/vi/KbjlTl5oiuI/maxresdefault.jpg","29/08/2020"
"Mercedes-AMG C63 S Coupé",63.042,"https://www.youtube.com/watch?v=uPpuhZSGGRY","20/11/2017",0.25,1058834,53140,363,"https://i.ytimg.com/vi/uPpuhZSGGRY/maxresdefault.jpg","29/08/2020"
"Chevrolet Camaro SS Cabrio",63.051,"https://www.youtube.com/watch?v=7JHTAaSa1bo","9/04/2018",0.25,83537,8379,42,"https://i.ytimg.com/vi/7JHTAaSa1bo/maxresdefault.jpg","29/08/2020"
"Mercedes C 63 AMG S",63.251,"https://www.youtube.com/watch?v=_eFkJvOntIk&list","27/06/2016",0.25,532022,15853,147,"https://i.ytimg.com/vi/_eFkJvOntIk/maxresdefault.jpg","29/08/2020"
"Mercedes-AMG A35",63.274,"https://www.youtube.com/watch?v=2Bt_4_yyZuQ","6/07/2020",0.25,141589,15679,73,"https://i.ytimg.com/vi/2Bt_4_yyZuQ/hqdefault.jpg","29/08/2020"
"BMW M2",63.415,"https://www.youtube.com/watch?v=QNecRuJIygU","5/12/2016",0.25,692400,25206,207,"https://i.ytimg.com/vi/QNecRuJIygU/maxresdefault.jpg","29/08/2020"
"Porsche 718 Boxster “James Dean”",63.562,"https://www.youtube.com/watch?v=vnXnRIY3Zj8","20/01/2020",0.1,130895,11873,89,"https://i.ytimg.com/vi/vnXnRIY3Zj8/maxresdefault.jpg","29/08/2020"
"Porsche Macan GTS",63.575,"https://www.youtube.com/watch?v=ajLY6fn9xKs","14/01/2019",0.25,142634,12154,69,"https://i.ytimg.com/vi/ajLY6fn9xKs/maxresdefault.jpg","29/08/2020"
"Mercedes-AMG C 43 Coupé",64.195,"https://www.youtube.com/watch?v=hxgpsszX84s","24/04/2017",15.63,925743,31988,391,"https://i.ytimg.com/vi/hxgpsszX84s/maxresdefault.jpg","29/08/2020"
"Audi TT Coupé",64.59,"https://www.youtube.com/watch?v=HR73zdNBI_g","9/11/2015",4.83,214449,6498,53,"https://i.ytimg.com/vi/HR73zdNBI_g/maxresdefault.jpg","29/08/2020"
"Honda Civic Type R",64.687,"https://www.youtube.com/watch?v=uPpuhZSGGRY","20/11/2017",0.25,1058834,53140,363,"https://i.ytimg.com/vi/uPpuhZSGGRY/maxresdefault.jpg","29/08/2020"
"Mercedes CLS 63 AMG 2015 do Léo Stronda",64.712,"https://www.youtube.com/watch?v=1xMf21EFIv0","24/09/2018",0.25,406403,24646,247,"https://i.ytimg.com/vi/1xMf21EFIv0/maxresdefault.jpg","29/08/2020"
"Porsche Boxter S",64.78,"https://www.youtube.com/watch?v=erEAKLCYgLQ","16/03/2015",0.25,505101,12699,77,"https://i.ytimg.com/vi/erEAKLCYgLQ/maxresdefault.jpg","29/08/2020"
"Mitsubischi Lancer Evo X",64.788,"https://www.youtube.com/watch?v=Qlr-IDBovFY","9/09/2014",0.25,594634,11279,69,"https://i.ytimg.com/vi/Qlr-IDBovFY/maxresdefault.jpg","29/08/2020"
"Kia Stinger GT",64.791,"https://www.youtube.com/watch?v=vBCY-c_sdG4","11/03/2019",0.25,632304,37540,255,"https://i.ytimg.com/vi/vBCY-c_sdG4/maxresdefault.jpg","29/08/2020"
"Porsche Macan Turbo",64.811,"https://www.youtube.com/watch?v=erEAKLCYgLQ","16/03/2015",0.25,505101,12699,77,"https://i.ytimg.com/vi/erEAKLCYgLQ/maxresdefault.jpg","29/08/2020"
"Jaguar XFR-S",64.829,"https://www.youtube.com/watch?v=5Ze0Z2QWAsc","4/05/2015",0.25,1080561,35590,305,"https://i.ytimg.com/vi/5Ze0Z2QWAsc/maxresdefault.jpg","29/08/2020"
"Porsche Cayenne",64.887,"https://www.youtube.com/watch?v=h1IhMUfcWwc","16/03/2020",0.25,217123,14959,149,"https://i.ytimg.com/vi/h1IhMUfcWwc/hqdefault.jpg","29/08/2020"
"Subaru WRX STI",65.09,"https://www.youtube.com/watch?v=Rjm4Kr_I8Ig","7/09/2015",0.25,1050822,27145,269,"https://i.ytimg.com/vi/Rjm4Kr_I8Ig/maxresdefault.jpg","29/08/2020"
"Mercedes-Benz A45 AMG",65.233,"https://www.youtube.com/watch?v=Wj-PbYzneqs","14/10/2014",0.25,317954,6377,36,"https://i.ytimg.com/vi/Wj-PbYzneqs/maxresdefault.jpg","29/08/2020"
"Tesla Model S",65.32,"https://www.youtube.com/watch?v=5Ze0Z2QWAsc","4/05/2015",0.25,1080561,35590,305,"https://i.ytimg.com/vi/5Ze0Z2QWAsc/maxresdefault.jpg","29/08/2020"
"BMW M240i",65.33,"https://www.youtube.com/watch?v=2BI8Y-O7TVA","14/05/2018",0.25,157201,22619,637,"https://i.ytimg.com/vi/2BI8Y-O7TVA/maxresdefault.jpg","29/08/2020"
"BMW M135i",65.339,"https://www.youtube.com/watch?v=TN9M8Ht95HE","16/09/2014",0.25,238571,4765,33,"https://i.ytimg.com/vi/TN9M8Ht95HE/maxresdefault.jpg","29/08/2020"
"Audi S3 Sedan",65.341,"https://www.youtube.com/watch?v=QNecRuJIygU","5/12/2016",0.25,692400,25206,207,"https://i.ytimg.com/vi/QNecRuJIygU/maxresdefault.jpg","29/08/2020"
"BMW M135i",65.508,"https://www.youtube.com/watch?v=2Bt_4_yyZuQ","6/07/2020",0.25,141589,15679,73,"https://i.ytimg.com/vi/2Bt_4_yyZuQ/hqdefault.jpg","29/08/2020"
"Jaguar XJ R-Sport",65.513,"https://www.youtube.com/watch?v=ajLY6fn9xKs","14/01/2019",0.25,142634,12154,69,"https://i.ytimg.com/vi/ajLY6fn9xKs/maxresdefault.jpg","29/08/2020"
"MINI Clubman JCW",65.615,"https://www.youtube.com/watch?v=WVyu-i-_Mkg","29/06/2020",0.25,93018,9256,170,"https://i.ytimg.com/vi/WVyu-i-_Mkg/hqdefault.jpg","29/08/2020"
"Volkswagen Jetta GLI",65.763,"https://www.youtube.com/watch?v=TbG-oHFUeJs","16/09/2019",0.25,1030494,47954,461,"https://i.ytimg.com/vi/TbG-oHFUeJs/hqdefault.jpg","29/08/2020"
"BMW M235i",65.781,"https://www.youtube.com/watch?v=6ORK9TXk03I","30/09/2014",0.25,275827,6018,20,"https://i.ytimg.com/vi/6ORK9TXk03I/maxresdefault.jpg","29/08/2020"
"Audi S Q5",65.855,"https://www.youtube.com/watch?v=6GKUn3y2b2Q","2/03/2015",0.25,119730,3335,10,"https://i.ytimg.com/vi/6GKUn3y2b2Q/maxresdefault.jpg","29/08/2020"
"Jaguar XE-S",65.918,"https://www.youtube.com/watch?v=0991cAFsuGo","19/10/2015",0.25,151752,5264,32,"https://i.ytimg.com/vi/0991cAFsuGo/maxresdefault.jpg","29/08/2020"
"Porsche Macan",65.933,"https://www.youtube.com/watch?v=KFo09mBuXG4","6/01/2020",0.25,160246,13446,78,"https://i.ytimg.com/vi/KFo09mBuXG4/maxresdefault.jpg","29/08/2020"
"Audi A5 Ambition Plus",65.993,"https://www.youtube.com/watch?v=ajLY6fn9xKs","14/01/2019",0.25,142634,12154,69,"https://i.ytimg.com/vi/ajLY6fn9xKs/maxresdefault.jpg","29/08/2020"
"Nissan 370Z Nismo 2012",66.153,"https://www.youtube.com/watch?v=TFHc1ftBLfA","23/07/2018",0.25,385882,27259,152,"https://i.ytimg.com/vi/TFHc1ftBLfA/maxresdefault.jpg","29/08/2020"
"Volvo S90 T8",66.176,"https://www.youtube.com/watch?v=jBoj2JchIsk","3/06/2019",0.25,109493,12721,391,"https://i.ytimg.com/vi/jBoj2JchIsk/maxresdefault.jpg","29/08/2020"
"BMW X6 xDrive40i M Sport",66.324,"https://www.youtube.com/watch?v=_Lm0HGrQho8","27/07/2020",0.25,242255,22137,135,"https://i.ytimg.com/vi/_Lm0HGrQho8/hqdefault.jpg","29/08/2020"
"Jaguar F-Type 2.0",66.357,"https://www.youtube.com/watch?v=N5tBv_st3ek","15/10/2018",0.25,162939,14769,86,"https://i.ytimg.com/vi/N5tBv_st3ek/maxresdefault.jpg","29/08/2020"
"Renault Megane R.S",66.622,"https://www.youtube.com/watch?v=PGlHJNtQ0Vo","21/08/2017",0.25,330101,18214,109,"https://i.ytimg.com/vi/PGlHJNtQ0Vo/maxresdefault.jpg","29/08/2020"
"Chevrolet Camaro SS 2014",66.709,"https://www.youtube.com/watch?v=VqKBPF7wfcc","16/12/2014",0.25,723634,13550,140,"https://i.ytimg.com/vi/VqKBPF7wfcc/maxresdefault.jpg","29/08/2020"
"Lotus Elise Supercharged 2008",66.901,"https://www.youtube.com/watch?v=hxgpsszX84s","24/04/2017",15.63,925703,31988,391,"https://i.ytimg.com/vi/hxgpsszX84s/maxresdefault.jpg","29/08/2020"
"Land Rover Range Rover SRV",66.902,"https://www.youtube.com/watch?v=HkZ8K34bbys","8/02/2016",0.25,493597,15627,113,"https://i.ytimg.com/vi/HkZ8K34bbys/maxresdefault.jpg","29/08/2020"
"Volkswagen Golf GTI 2019",66.954,"https://www.youtube.com/watch?v=7KnyzJJxEwI","8/10/2018",0.25,220163,15653,411,"https://i.ytimg.com/vi/7KnyzJJxEwI/maxresdefault.jpg","29/08/2020"
"Ford Focus RS 2010",66.473,"https://www.youtube.com/watch?v=iiyoQHzpDHg","2/03/2020",0.25,575785,40194,292,"https://i.ytimg.com/vi/iiyoQHzpDHg/hqdefault.jpg","29/08/2020"
"Mercedes-Benz C300 Sport",66.87,"https://www.youtube.com/watch?v=TbG-oHFUeJs","16/09/2019",0.25,1030494,47954,461,"https://i.ytimg.com/vi/TbG-oHFUeJs/hqdefault.jpg","29/08/2020"
"Porsche Panamera V6",67.302,"https://www.youtube.com/watch?v=cx6SbOtwvXY","13/06/2016",0.25,530592,17432,126,"https://i.ytimg.com/vi/cx6SbOtwvXY/maxresdefault.jpg","29/08/2020"
"BMW 330i M Sport",67.334,"https://www.youtube.com/watch?v=KT-NOP1VpIo","23/12/2019",0.25,122381,8891,269,"https://i.ytimg.com/vi/KT-NOP1VpIo/maxresdefault.jpg","29/08/2020"
"Mini John Cooper Works",67.473,"https://www.youtube.com/watch?v=OhbTz1K8TE4","10/12/2018",0.25,173220,15235,81,"https://i.ytimg.com/vi/OhbTz1K8TE4/maxresdefault.jpg","29/08/2020"
"Honda Civic Si 2018",67.526,"https://www.youtube.com/watch?v=mDkLiPWOt9Y","4/06/2018",0.25,455279,33652,172,"https://i.ytimg.com/vi/mDkLiPWOt9Y/maxresdefault.jpg","29/08/2020"
"Volkswagen Golf GTI 2015",67.551,"https://www.youtube.com/watch?v=60CRV-Zs5GM","26/01/2015",0.25,707362,12581,114,"https://i.ytimg.com/vi/60CRV-Zs5GM/maxresdefault.jpg","29/08/2020"
"Mercedes-Benz CLS 400",67.629,"https://www.youtube.com/watch?v=cx6SbOtwvXY","13/06/2016",0.25,530592,17432,126,"https://i.ytimg.com/vi/cx6SbOtwvXY/maxresdefault.jpg","29/08/2020"
"Honda Accord Touring",68.083,"https://www.youtube.com/watch?v=TbG-oHFUeJs","16/09/2019",0.25,1030494,47954,461,"https://i.ytimg.com/vi/TbG-oHFUeJs/hqdefault.jpg","29/08/2020"
"VW Fusca TSI",68.136,"https://www.youtube.com/watch?v=WESah27pphU","28/12/2015",0.25,1610041,41569,711,"https://i.ytimg.com/vi/WESah27pphU/maxresdefault.jpg","29/08/2020"
"Volvo V40 T5 R-Design",68.153,"https://www.youtube.com/watch?v=PGlHJNtQ0Vo","21/08/2017",0.25,330101,18214,109,"https://i.ytimg.com/vi/PGlHJNtQ0Vo/maxresdefault.jpg","29/08/2020"
"Ford Edge ST",68.157,"https://www.youtube.com/watch?v=KFo09mBuXG4","6/01/2020",0.25,160246,13446,78,"https://i.ytimg.com/vi/KFo09mBuXG4/maxresdefault.jpg","29/08/2020"
"Toyota GT86",68.227,"https://www.youtube.com/watch?v=PGlHJNtQ0Vo","21/08/2017",0.25,330101,18214,109,"https://i.ytimg.com/vi/PGlHJNtQ0Vo/maxresdefault.jpg","29/08/2020"
"Nissan 350Z 2008",68.295,"https://www.youtube.com/watch?v=SxP7ts9znio","16/07/2018",0.25,213206,22081,412,"https://i.ytimg.com/vi/SxP7ts9znio/maxresdefault.jpg","29/08/2020"
"Audi Q8 Performance Black",68.361,"https://www.youtube.com/watch?v=_Lm0HGrQho8","27/07/2020",0.25,242257,22138,135,"https://i.ytimg.com/vi/_Lm0HGrQho8/hqdefault.jpg","29/08/2020"
"Volkswagen Polo GTI 2006",68.81,"https://www.youtube.com/watch?v=Qfefg8CzbgQ","6/05/2019",0.25,187935,19075,72,"https://i.ytimg.com/vi/Qfefg8CzbgQ/maxresdefault.jpg","29/08/2020"
"BMW X5 xDrive30d",69.073,"https://www.youtube.com/watch?v=h1IhMUfcWwc","16/03/2020",0.25,217123,14959,149,"https://i.ytimg.com/vi/h1IhMUfcWwc/hqdefault.jpg","29/08/2020"
"BMW 320i",69.105,"https://www.youtube.com/watch?v=dlW-72RhZnA","13/02/2017",0.25,631435,18065,210,"https://i.ytimg.com/vi/dlW-72RhZnA/maxresdefault.jpg","29/08/2020"
"Mercedes Classe A 250",69.376,"https://www.youtube.com/watch?v=BXFqzhi067w","25/03/2019",0.25,205692,19316,179,"https://i.ytimg.com/vi/BXFqzhi067w/maxresdefault.jpg","29/08/2020"
"BMW X2",69.413,"https://www.youtube.com/watch?v=7KnyzJJxEwI","8/10/2018",0.25,220163,15653,411,"https://i.ytimg.com/vi/7KnyzJJxEwI/maxresdefault.jpg","29/08/2020"
"VW Jetta TSI",69.418,"https://www.youtube.com/watch?v=tYUyp4WTc3Y","17/08/2015",0.25,582093,14628,132,"https://i.ytimg.com/vi/tYUyp4WTc3Y/maxresdefault.jpg","29/08/2020"
"Volvo T40 2014",69.551,"https://www.youtube.com/watch?v=FEi8bO6_sdI","25/05/2015",0.25,324840,6673,55,"https://i.ytimg.com/vi/FEi8bO6_sdI/maxresdefault.jpg","29/08/2020"
"Audi A3 1.8 TFSI",69.758,"https://www.youtube.com/watch?v=RB55oJOO64g","3/08/2015",0.25,137603,4125,16,"https://i.ytimg.com/vi/RB55oJOO64g/maxresdefault.jpg","29/08/2020"
"Volkswagen Golf GTI Mk5 2007",69.787,"https://www.youtube.com/watch?v=zOphDb1NeHM","24/08/2020",9.32,150797,15282,208,"https://i.ytimg.com/vi/zOphDb1NeHM/hqdefault.jpg","29/08/2020"
"Jaguar XF",69.8,"https://www.youtube.com/watch?v=kUHT_Eo_ZfY","2/12/2014",0.1,44597,1593,5,"https://i.ytimg.com/vi/kUHT_Eo_ZfY/maxresdefault.jpg","29/08/2020"
"Mini John Cooper Works",69.882,"https://www.youtube.com/watch?v=rdXtJi0rNxw","12/01/2015",0.25,218536,4775,30,"https://i.ytimg.com/vi/rdXtJi0rNxw/maxresdefault.jpg","29/08/2020"
"Chevrolet Equinox",70.023,"https://www.youtube.com/watch?v=G8g7JWs5his","12/03/2018",0.1,249406,17048,139,"https://i.ytimg.com/vi/G8g7JWs5his/maxresdefault.jpg","29/08/2020"
"Honda Civic Touring",70.166,"https://www.youtube.com/watch?v=4ISmu8EjPiw","24/10/2016",0.25,1033649,22961,350,"https://i.ytimg.com/vi/4ISmu8EjPiw/maxresdefault.jpg","29/08/2020"
"Honda Civic Si 2015",70.351,"https://www.youtube.com/watch?v=5VC-wsyo7xc","9/02/2015",0.25,231172,4624,26,"https://i.ytimg.com/vi/5VC-wsyo7xc/maxresdefault.jpg","29/08/2020"
"Volkswagen Polo GTS",70.386,"https://www.youtube.com/watch?v=1OaZDxYOGMg","13/07/2020",0.25,283861,20978,140,"https://i.ytimg.com/vi/1OaZDxYOGMg/hqdefault.jpg","29/08/2020"
"Honda HR-V Touring",70.423,"https://www.youtube.com/watch?v=r5k9nRbQs3Q","28/10/2019",0.25,132469,12019,69,"https://i.ytimg.com/vi/r5k9nRbQs3Q/maxresdefault.jpg","29/08/2020"
"Toyota RAV4 Hybrid",70.498,"https://www.youtube.com/watch?v=r5k9nRbQs3Q","28/10/2019",0.25,132469,12019,69,"https://i.ytimg.com/vi/r5k9nRbQs3Q/maxresdefault.jpg","29/08/2020"
"Suzuki Swift Sport R",70.577,"https://www.youtube.com/watch?v=Nnb_mQgk0Ew","28/09/2015",0.25,128171,5016,31,"https://i.ytimg.com/vi/Nnb_mQgk0Ew/maxresdefault.jpg","29/08/2020"
"Ford Fusion 2.0 EcoBoost AWD",70.785,"https://www.youtube.com/watch?v=Bfr4qNTQ8jY","21/11/2016",0.25,770223,22374,405,"https://i.ytimg.com/vi/Bfr4qNTQ8jY/maxresdefault.jpg","29/08/2020"
"Fiat 500 Abarth",70.884,"https://www.youtube.com/watch?v=4kmh25Rprxk","23/02/2015",0.25,460077,9814,75,"https://i.ytimg.com/vi/4kmh25Rprxk/maxresdefault.jpg","29/08/2020"
"Audi A3 Sedan 1.4",70.906,"https://www.youtube.com/watch?v=4ISmu8EjPiw","24/10/2016",0.25,103365,22961,350,"https://i.ytimg.com/vi/4ISmu8EjPiw/maxresdefault.jpg","29/08/2020"
"Ford Fusion 2.0 EcoBoost",70.933,"https://www.youtube.com/watch?v=cx6SbOtwvXY","13/06/2016",0.25,530592,17432,126,"https://i.ytimg.com/vi/cx6SbOtwvXY/maxresdefault.jpg","29/08/2020"
"Range Rover Evoque",71.004,"https://www.youtube.com/watch?v=g4JF879CgCE","27/03/2017",0.38,1022667,31739,530,"https://i.ytimg.com/vi/g4JF879CgCE/maxresdefault.jpg","29/08/2020"
"Peugeot 2008 THP",71.063,"https://www.youtube.com/watch?v=dx2cY_MdjTs","16/11/2015",0.25,198611,4897,55,"https://i.ytimg.com/vi/dx2cY_MdjTs/maxresdefault.jpg","29/08/2020"
"Volvo XC40 T4",71.147,"https://www.youtube.com/watch?v=r5k9nRbQs3Q","28/10/2019",0.25,132469,12019,69,"https://i.ytimg.com/vi/r5k9nRbQs3Q/maxresdefault.jpg","29/08/2020"
